longitude,latitude,year,biomass_mg_ha,s2_B1,s2_B2,s2_B3,s2_B4,s2_B5,s2_B6,s2_B7,s2_B8,s2_B8A,s2_B9,s2_B11,s2_B12,s2_AOT,s2_WVP,s2_SCL,s2_TCI_R,s2_TCI_G,s2_TCI_B,s2_MSK_CLDPRB,s2_MSK_SNWPRB,s2_MSK_CLASSI_OPAQUE,s2_MSK_CLASSI_CIRRUS,s2_MSK_CLASSI_SNOW_ICE,s2_NDVI,s2_EVI,s2_SAVI,s2_MSAVI2,s2_NDMI,s2_NDWI,s2_NBR
-63.14720764,-5.920930785,2019,86.36417389,249,271,467,273,776,2367,2943,2986,3291,3189,1520,618,186,3931,4,28,48,28,0,0,0,0,0,0.83246392,2.616200579,1.248504372,0.908559431,0.325343996,-0.729510546,0.657047749
-58.9322225,-7.167343242,de,245.000427,175.5,231,437.5,236.5,717,2297,2883.5,2849,3222,2978,1496.5,630.5,65.5,3788.5,4,25,45,24.5,0,0,0,0,0,0.846702337,2.574906367,1.269847699,0.916975056,0.311241508,-0.733759344,0.6375916
-63.29776529,-7.403959487,2019,32.49225998,276,277.5,493,251,822.5,2501,3174,3382,3522,3253,1573,621,78,4036,4,26,50.5,29,0,0,0,0,0,0.861822188,2.787819428,1.292555387,0.925773401,0.365085781,-0.745548368,0.689732671
-57.74842262,-10.07545931,2020,87.809189,193.5,212,378,221.5,702.5,2003.5,2555.5,2384.5,2871.5,2886,1353.5,560,64,2811,4,22.5,38.5,22,0,0,0,0,0,0.830007672,2.545304778,1.244772684,0.907090737,0.275815934,-0.72633487,0.6196298
-55.29709987,-4.560072961,2020,214.5056305,167.5,168,281,144.5,505.5,1841,2343.5,2364,2607.5,2856.5,1210.5,490.5,64,3227,4,15,29,18,0,0,0,0,0,0.884791732,2.813767748,1.326923077,0.938862648,0.322702467,-0.787523627,0.656332135
-60.83099152,-6.197072903,2020,181.027802,234,232.5,413.5,224.5,719.5,2309,2978.5,3061,3294,3263,1510,591.5,69,3659.5,4,23.5,42.5,24.5,0,0,0,0,0,0.863338888,2.660632211,1.294811321,0.926646852,0.33931306,-0.761980116,0.676112235
-62.56905193,-4.597173382,2020,81.678818,305,324,535,279,778,2452,3169,3550,3531,3599,1432,575,171,3347,4,30,55,32,0,0,0,0,0,0.854270041,2.925760286,1.281237759,0.92139825,0.425130457,-0.738066077,0.721212149
-55.79458688,-4.145859784,2020,4.624499798,198,248,491,219,849,2765,3572,3644,3921,3448,1530,620,81,3898,4,23,49,26,0,0,0,0,0,0.886616647,2.762988061,1.329752815,0.939893456,0.408581376,-0.762515128,0.70919323
-59.18411011,-8.088385902,2020,113.7447357,162.5,175.5,325,169.5,560.5,1766,2298.5,2419.5,2561.5,2818.5,1200,494.5,58,2977,4,18,34,19.5,0,0,0,0,0,0.86906141,2.651738362,1.303340413,0.929930738,0.336925,-0.763162673,0.660604
-58.89359494,-7.457319415,2020,65.20122528,139,181,368.5,185.5,608,2087,2626.5,2766.5,2962,3028,1322.5,541.5,60,3389.5,4,19,38,19.5,0,0,0,0,0,0.874322474,2.557471264,1.311261643,0.93293646,0.353142589,-0.764912307,0.672611833
-62.04901721,-5.170388365,2020,98.103477,261,276,432,251,712,2035,2528,2540,2824,3078,1378,559,324,3303,4,25,44,27,0,0,0,0,0,0.82013613,2.894537178,1.22998388,0.901163569,0.296579897,-0.70928669,0.639238477
-64.43242732,-8.970172185,2021,99.017899,204.5,245.5,419,237,706.5,2047,2610.5,2514.5,2790,2979.5,1272.5,516.5,136,3275,4,24,42.5,25.5,0,0,0,0,0,0.827730358,2.716159809,1.241369913,0.905729691,0.327964097,-0.714334428,0.65918839
-64.55369988,-9.300213221,2021,1.391625047,401,367,544,471,976,1880,2126,1920,2337,2402,2156,1362,83,3033,4,48,56,39,0,0,0,0,0,0.606022596,1.816244673,0.908843822,0.754639282,-0.057899904,-0.558441579,0.170018286
-59.79613231,-5.612539148,2021,183.7544098,272,316.5,480.5,275.5,760,2175,2749.5,2721.5,3168,3346,1486.5,610.5,132,3735,4,28.5,49.5,32.5,0,0,0,0,0,0.816149473,3.054827026,1.224020017,0.898752343,0.293488592,-0.699875057,0.633553445
-63.31141968,-11.8926613,2022,50.938541,313,321,502,255,841,2732,3467,3629,3894,3510,1833,772,321,2884,4,26,52,31,0,0,0,0,0,0.86869204,3.06448683,1.302870382,0.929723707,0.328817278,-0.756959558,0.649170637
